PRICE,BW,COB,INT,TERM,AMORT
10,78,4116,5.99,36,240
11,78,4116,5.99,36,240
12,78,4116,5.99,36,240
13,78,4116,5.99,36,240
14,78,4116,5.99,36,240
15,82,4302,5.99,36,240
16,85,4484,5.99,36,240
17,89,4669,5.99,36,240
18,92,4852,5.99,36,240
19,96,5036,5.99,36,240
20,99,5220,5.99,36,240
21,102,5404,5.99,36,240
22,106,5588,5.99,36,240
23,109,5772,5.99,36,240
24,113,5956,5.99,36,240
25,116,6140,5.99,36,240
26,120,6324,5.99,36,240
27,123,6508,5.99,36,240
28,127,6692,5.99,36,240
29,130,6876,5.99,36,240
30,134,7060,5.99,36,240
31,137,7244,5.99,36,240
32,141,7428,5.99,36,240
33,144,7612,5.99,36,240
34,148,7796,5.99,36,240
35,151,7980,5.99,36,240
36,155,8164,5.99,36,240
37,158,8348,5.99,36,240
38,162,8532,5.99,36,240
39,165,8716,5.99,36,240
40,168,8900,5.99,36,240
41,172,9084,5.99,36,240
42,175,9268,5.99,36,240
43,179,9452,5.99,36,240
44,182,9636,5.99,36,240
45,186,9820,5.99,36,240
46,189,10004,5.99,36,240
47,193,10188,5.99,36,240
48,196,10372,5.99,36,240
49,200,10556,5.99,36,240
50,203,10740,5.99,36,240
51,207,10924,5.99,36,240
52,210,11108,5.99,36,240
53,214,11292,5.99,36,240
54,217,11476,5.99,36,240
55,221,11660,5.99,36,240
56,224,11844,5.99,36,240
57,228,12028,5.99,36,240
58,231,12212,5.99,36,240
59,235,12396,5.99,36,240
60,238,12580,5.99,36,240
61,241,12764,5.99,36,240
62,245,12948,5.99,36,240
63,248,13132,5.99,36,240
64,252,13316,5.99,36,240
65,255,13500,5.99,36,240
66,259,13684,5.99,36,240
67,262,13868,5.99,36,240
68,266,14052,5.99,36,240
69,269,14236,5.99,36,240
70,273,14420,5.99,36,240
71,276,14604,5.99,36,240
72,280,14788,5.99,36,240
73,283,14972,5.99,36,240
74,287,15156,5.99,36,240
75,290,15340,5.99,36,240
76,294,15524,5.99,36,240
77,297,15708,5.99,36,240
78,301,15892,5.99,36,240
79,304,16076,5.99,36,240
80,307,16260,5.99,36,240
81,311,16444,5.99,36,240
82,314,16628,5.99,36,240
83,318,16812,5.99,36,240
84,321,16996,5.99,36,240
85,325,17180,5.99,36,240
86,328,17364,5.99,36,240
87,332,17548,5.99,36,240
88,335,17732,5.99,36,240
89,339,17916,5.99,36,240
90,342,18100,5.99,36,240
91,346,18284,5.99,36,240
92,349,18468,5.99,36,240
93,353,18652,5.99,36,240
94,356,18836,5.99,36,240
95,360,19020,5.99,36,240
96,363,19204,5.99,36,240
97,367,19388,5.99,36,240
98,370,19572,5.99,36,240
99,374,19756,5.99,36,240
100,377,19940,5.99,36,240
101,380,20124,5.99,36,240
102,384,20308,5.99,36,240
103,387,20492,5.99,36,240
104,391,20676,5.99,36,240
105,394,20860,5.99,36,240
106,398,21044,5.99,36,240
107,401,21228,5.99,36,240
108,405,21412,5.99,36,240
109,408,21596,5.99,36,240
110,412,21780,5.99,36,240
111,415,21964,5.99,36,240
112,419,22148,5.99,36,240
113,422,22332,5.99,36,240
114,426,22516,5.99,36,240
115,429,22700,5.99,36,240
116,433,22884,5.99,36,240
117,436,23068,5.99,36,240
118,440,23252,5.99,36,240
119,443,23436,5.99,36,240
120,447,23620,5.99,36,240
121,450,23804,5.99,36,240
122,453,23988,5.99,36,240
123,457,24172,5.99,36,240
124,460,24356,5.99,36,240
125,464,24540,5.99,36,240
126,467,24724,5.99,36,240
127,471,24908,5.99,36,240
128,474,25092,5.99,36,240
129,478,25276,5.99,36,240
130,481,25460,5.99,36,240
131,485,25644,5.99,36,240
132,488,25828,5.99,36,240
133,492,26012,5.99,36,240
134,495,26196,5.99,36,240
135,499,26380,5.99,36,240
136,502,26564,5.99,36,240
137,506,26748,5.99,36,240
138,509,26932,5.99,36,240
139,513,27116,5.99,36,240
140,516,27300,5.99,36,240
141,519,27484,5.99,36,240
142,523,27668,5.99,36,240
143,526,27852,5.99,36,240
144,530,28036,5.99,36,240
145,533,28220,5.99,36,240
146,537,28404,5.99,36,240
147,540,28588,5.99,36,240
148,544,28772,5.99,36,240
149,547,28956,5.99,36,240
150,551,29140,5.99,36,240
151,554,29324,5.99,36,240
152,558,29508,5.99,36,240
153,561,29692,5.99,36,240
154,565,29876,5.99,36,240
155,568,30060,5.99,36,240
156,572,30244,5.99,36,240
157,575,30428,5.99,36,240
158,579,30612,5.99,36,240
159,582,30796,5.99,36,240
164,586,30980,5.99,36,240
249,867,45260,5.99,36,240
199,694,36209,5.99,36,240
259,873,43843,5.99,36,240
